,conds,date,dewpti,dewptm,fog,hail,heatindexi,heatindexm,hum,icon,metar,precipi,precipm,pressurei,pressurem,rain,snow,tempi,tempm,thunder,tornado,utcdate,visi,vism,wdird,wdire,wgusti,wgustm,windchilli,windchillm,wspdi,wspdm
10,Unknown,"{u'mday': u'05', u'hour': u'05', u'min': u'00', u'mon': u'08', u'pretty': u'5:00 AM CEST on August 05, 2009', u'year': u'2009', u'tzname': u'Europe/Paris'}",51.8,11.0,0,0,-9999,-9999,72,unknown,METAR LFPB 050300Z AUTO 06006KT 9999NDV NSC 16/11 Q1018,-9999.00,-9999.00,30.06,1018,0,0,60.8,16.0,0,0,"{u'mday': u'05', u'hour': u'03', u'min': u'00', u'mon': u'08', u'pretty': u'3:00 AM GMT on August 05, 2009', u'year': u'2009', u'tzname': u'UTC'}",6.2,10.0,60,ENE,-9999.0,-9999.0,-999,-999,6.9,11.1
11,Unknown,"{u'mday': u'05', u'hour': u'05', u'min': u'30', u'mon': u'08', u'pretty': u'5:30 AM CEST on August 05, 2009', u'year': u'2009', u'tzname': u'Europe/Paris'}",51.8,11.0,0,0,-9999,-9999,72,unknown,METAR LFPB 050330Z AUTO 03002KT 9999NDV NSC 16/11 Q1018,-9999.00,-9999.00,30.06,1018,0,0,60.8,16.0,0,0,"{u'mday': u'05', u'hour': u'03', u'min': u'30', u'mon': u'08', u'pretty': u'3:30 AM GMT on August 05, 2009', u'year': u'2009', u'tzname': u'UTC'}",6.2,10.0,30,NNE,-9999.0,-9999.0,-999,-999,2.3,3.7
12,Unknown,"{u'mday': u'05', u'hour': u'06', u'min': u'00', u'mon': u'08', u'pretty': u'6:00 AM CEST on August 05, 2009', u'year': u'2009', u'tzname': u'Europe/Paris'}",50.0,10.0,0,0,-9999,-9999,68,unknown,METAR LFPB 050400Z AUTO 05004KT 9999NDV NSC 16/10 Q1018,-9999.00,-9999.00,30.06,1018,0,0,60.8,16.0,0,0,"{u'mday': u'05', u'hour': u'04', u'min': u'00', u'mon': u'08', u'pretty': u'4:00 AM GMT on August 05, 2009', u'year': u'2009', u'tzname': u'UTC'}",6.2,10.0,50,NE,-9999.0,-9999.0,-999,-999,4.6,7.4
13,Clear,"{u'mday': u'05', u'hour': u'06', u'min': u'30', u'mon': u'08', u'pretty': u'6:30 AM CEST on August 05, 2009', u'year': u'2009', u'tzname': u'Europe/Paris'}",51.8,11.0,0,0,-9999,-9999,72,clear,METAR LFPB 050430Z 36004KT CAVOK 16/11 Q1018 NOSIG,-9999.00,-9999.00,30.06,1018,0,0,60.8,16.0,0,0,"{u'mday': u'05', u'hour': u'04', u'min': u'30', u'mon': u'08', u'pretty': u'4:30 AM GMT on August 05, 2009', u'year': u'2009', u'tzname': u'UTC'}",-9999.0,-9999.0,360,North,-9999.0,-9999.0,-999,-999,4.6,7.4
14,Clear,"{u'mday': u'05', u'hour': u'07', u'min': u'00', u'mon': u'08', u'pretty': u'7:00 AM CEST on August 05, 2009', u'year': u'2009', u'tzname': u'Europe/Paris'}",51.8,11.0,0,0,-9999,-9999,72,clear,METAR LFPB 050500Z 02003KT CAVOK 16/11 Q1018 NOSIG,-9999.00,-9999.00,30.06,1018,0,0,60.8,16.0,0,0,"{u'mday': u'05', u'hour': u'05', u'min': u'00', u'mon': u'08', u'pretty': u'5:00 AM GMT on August 05, 2009', u'year': u'2009', u'tzname': u'UTC'}",-9999.0,-9999.0,20,NNE,-9999.0,-9999.0,-999,-999,3.5,5.6
15,Clear,"{u'mday': u'05', u'hour': u'07', u'min': u'30', u'mon': u'08', u'pretty': u'7:30 AM CEST on August 05, 2009', u'year': u'2009', u'tzname': u'Europe/Paris'}",51.8,11.0,0,0,-9999,-9999,72,clear,METAR LFPB 050530Z 04004KT CAVOK 16/11 Q1019 NOSIG,-9999.00,-9999.00,30.09,1019,0,0,60.8,16.0,0,0,"{u'mday': u'05', u'hour': u'05', u'min': u'30', u'mon': u'08', u'pretty': u'5:30 AM GMT on August 05, 2009', u'year': u'2009', u'tzname': u'UTC'}",-9999.0,-9999.0,40,NE,-9999.0,-9999.0,-999,-999,4.6,7.4
16,Clear,"{u'mday': u'05', u'hour': u'08', u'min': u'00', u'mon': u'08', u'pretty': u'8:00 AM CEST on August 05, 2009', u'year': u'2009', u'tzname': u'Europe/Paris'}",53.6,12.0,0,0,-9999,-9999,72,clear,METAR LFPB 050600Z 04003KT CAVOK 17/12 Q1019 NOSIG,-9999.00,-9999.00,30.09,1019,0,0,62.6,17.0,0,0,"{u'mday': u'05', u'hour': u'06', u'min': u'00', u'mon': u'08', u'pretty': u'6:00 AM GMT on August 05, 2009', u'year': u'2009', u'tzname': u'UTC'}",-9999.0,-9999.0,40,NE,-9999.0,-9999.0,-999,-999,3.5,5.6
17,Clear,"{u'mday': u'05', u'hour': u'08', u'min': u'30', u'mon': u'08', u'pretty': u'8:30 AM CEST on August 05, 2009', u'year': u'2009', u'tzname': u'Europe/Paris'}",53.6,12.0,0,0,-9999,-9999,68,clear,METAR LFPB 050630Z 04002KT CAVOK 18/12 Q1019 NOSIG,-9999.00,-9999.00,30.09,1019,0,0,64.4,18.0,0,0,"{u'mday': u'05', u'hour': u'06', u'min': u'30', u'mon': u'08', u'pretty': u'6:30 AM GMT on August 05, 2009', u'year': u'2009', u'tzname': u'UTC'}",-9999.0,-9999.0,40,NE,-9999.0,-9999.0,-999,-999,2.3,3.7
18,Clear,"{u'mday': u'05', u'hour': u'09', u'min': u'00', u'mon': u'08', u'pretty': u'9:00 AM CEST on August 05, 2009', u'year': u'2009', u'tzname': u'Europe/Paris'}",53.6,12.0,0,0,-9999,-9999,60,clear,METAR LFPB 050700Z VRB03KT CAVOK 20/12 Q1019 NOSIG,-9999.00,-9999.00,30.09,1019,0,0,68.0,20.0,0,0,"{u'mday': u'05', u'hour': u'07', u'min': u'00', u'mon': u'08', u'pretty': u'7:00 AM GMT on August 05, 2009', u'year': u'2009', u'tzname': u'UTC'}",-9999.0,-9999.0,0,Variable,-9999.0,-9999.0,-999,-999,3.5,5.6
19,Clear,"{u'mday': u'05', u'hour': u'09', u'min': u'30', u'mon': u'08', u'pretty': u'9:30 AM CEST on August 05, 2009', u'year': u'2009', u'tzname': u'Europe/Paris'}",53.6,12.0,0,0,-9999,-9999,60,clear,METAR LFPB 050730Z 10004KT CAVOK 20/12 Q1019 NOSIG,-9999.00,-9999.00,30.09,1019,0,0,68.0,20.0,0,0,"{u'mday': u'05', u'hour': u'07', u'min': u'30', u'mon': u'08', u'pretty': u'7:30 AM GMT on August 05, 2009', u'year': u'2009', u'tzname': u'UTC'}",-9999.0,-9999.0,100,East,-9999.0,-9999.0,-999,-999,4.6,7.4
20,Clear,"{u'mday': u'05', u'hour': u'10', u'min': u'00', u'mon': u'08', u'pretty': u'10:00 AM CEST on August 05, 2009', u'year': u'2009', u'tzname': u'Europe/Paris'}",53.6,12.0,0,0,-9999,-9999,53,clear,METAR LFPB 050800Z 11003KT 030V140 CAVOK 22/12 Q1019 NOSIG,-9999.00,-9999.00,30.09,1019,0,0,71.6,22.0,0,0,"{u'mday': u'05', u'hour': u'08', u'min': u'00', u'mon': u'08', u'pretty': u'8:00 AM GMT on August 05, 2009', u'year': u'2009', u'tzname': u'UTC'}",-9999.0,-9999.0,110,ESE,-9999.0,-9999.0,-999,-999,3.5,5.6
21,Clear,"{u'mday': u'05', u'hour': u'10', u'min': u'30', u'mon': u'08', u'pretty': u'10:30 AM CEST on August 05, 2009', u'year': u'2009', u'tzname': u'Europe/Paris'}",53.6,12.0,0,0,-9999,-9999,50,clear,METAR LFPB 050830Z 12003KT 060V200 CAVOK 23/12 Q1019 NOSIG,-9999.00,-9999.00,30.09,1019,0,0,73.4,23.0,0,0,"{u'mday': u'05', u'hour': u'08', u'min': u'30', u'mon': u'08', u'pretty': u'8:30 AM GMT on August 05, 2009', u'year': u'2009', u'tzname': u'UTC'}",-9999.0,-9999.0,120,ESE,-9999.0,-9999.0,-999,-999,3.5,5.6
22,Clear,"{u'mday': u'05', u'hour': u'11', u'min': u'00', u'mon': u'08', u'pretty': u'11:00 AM CEST on August 05, 2009', u'year': u'2009', u'tzname': u'Europe/Paris'}",53.6,12.0,0,0,-9999,-9999,47,clear,METAR LFPB 050900Z 12004KT 070V180 CAVOK 24/12 Q1019 NOSIG,-9999.00,-9999.00,30.09,1019,0,0,75.2,24.0,0,0,"{u'mday': u'05', u'hour': u'09', u'min': u'00', u'mon': u'08', u'pretty': u'9:00 AM GMT on August 05, 2009', u'year': u'2009', u'tzname': u'UTC'}",-9999.0,-9999.0,120,ESE,-9999.0,-9999.0,-999,-999,4.6,7.4
23,Clear,"{u'mday': u'05', u'hour': u'11', u'min': u'30', u'mon': u'08', u'pretty': u'11:30 AM CEST on August 05, 2009', u'year': u'2009', u'tzname': u'Europe/Paris'}",53.6,12.0,0,0,-9999,-9999,44,clear,METAR LFPB 050930Z 13004KT 070V180 CAVOK 25/12 Q1019 NOSIG,-9999.00,-9999.00,30.09,1019,0,0,77.0,25.0,0,0,"{u'mday': u'05', u'hour': u'09', u'min': u'30', u'mon': u'08', u'pretty': u'9:30 AM GMT on August 05, 2009', u'year': u'2009', u'tzname': u'UTC'}",-9999.0,-9999.0,130,SE,-9999.0,-9999.0,-999,-999,4.6,7.4
24,Unknown,"{u'mday': u'05', u'hour': u'12', u'min': u'00', u'mon': u'08', u'pretty': u'12:00 PM CEST on August 05, 2009', u'year': u'2009', u'tzname': u'Europe/Paris'}",51.8,11.0,0,0,-9999,-9999,39,unknown,METAR LFPB 051000Z 13004KT 070V200 9999 VCSH NSC 26/11 Q1018 NOSIG,-9999.00,-9999.00,30.06,1018,0,0,78.8,26.0,0,0,"{u'mday': u'05', u'hour': u'10', u'min': u'00', u'mon': u'08', u'pretty': u'10:00 AM GMT on August 05, 2009', u'year': u'2009', u'tzname': u'UTC'}",6.2,10.0,130,SE,-9999.0,-9999.0,-999,-999,4.6,7.4
25,Unknown,"{u'mday': u'05', u'hour': u'12', u'min': u'30', u'mon': u'08', u'pretty': u'12:30 PM CEST on August 05, 2009', u'year': u'2009', u'tzname': u'Europe/Paris'}",50.0,10.0,0,0,-9999,-9999,36,unknown,METAR LFPB 051030Z AUTO 16005KT 090V220 9999NDV NSC 26/10 Q1018,-9999.00,-9999.00,30.06,1018,0,0,78.8,26.0,0,0,"{u'mday': u'05', u'hour': u'10', u'min': u'30', u'mon': u'08', u'pretty': u'10:30 AM GMT on August 05, 2009', u'year': u'2009', u'tzname': u'UTC'}",6.2,10.0,160,SSE,-9999.0,-9999.0,-999,-999,5.8,9.3
26,Clear,"{u'mday': u'05', u'hour': u'13', u'min': u'30', u'mon': u'08', u'pretty': u'1:30 PM CEST on August 05, 2009', u'year': u'2009', u'tzname': u'Europe/Paris'}",50.0,10.0,0,0,-9999,-9999,32,clear,METAR LFPB 051130Z 12004KT 060V180 CAVOK 28/10 Q1018 NOSIG,-9999.00,-9999.00,30.06,1018,0,0,82.4,28.0,0,0,"{u'mday': u'05', u'hour': u'11', u'min': u'30', u'mon': u'08', u'pretty': u'11:30 AM GMT on August 05, 2009', u'year': u'2009', u'tzname': u'UTC'}",-9999.0,-9999.0,120,ESE,-9999.0,-9999.0,-999,-999,4.6,7.4
27,Clear,"{u'mday': u'05', u'hour': u'14', u'min': u'00', u'mon': u'08', u'pretty': u'2:00 PM CEST on August 05, 2009', u'year': u'2009', u'tzname': u'Europe/Paris'}",50.0,10.0,0,0,-9999,-9999,32,clear,METAR LFPB 051200Z 13007KT 030V180 CAVOK 28/10 Q1018 NOSIG,-9999.00,-9999.00,30.06,1018,0,0,82.4,28.0,0,0,"{u'mday': u'05', u'hour': u'12', u'min': u'00', u'mon': u'08', u'pretty': u'12:00 PM GMT on August 05, 2009', u'year': u'2009', u'tzname': u'UTC'}",-9999.0,-9999.0,130,SE,-9999.0,-9999.0,-999,-999,8.1,13.0
28,Clear,"{u'mday': u'05', u'hour': u'14', u'min': u'30', u'mon': u'08', u'pretty': u'2:30 PM CEST on August 05, 2009', u'year': u'2009', u'tzname': u'Europe/Paris'}",50.0,10.0,0,0,-9999,-9999,32,clear,METAR LFPB 051230Z 12007KT 070V160 CAVOK 28/10 Q1018 NOSIG,-9999.00,-9999.00,30.06,1018,0,0,82.4,28.0,0,0,"{u'mday': u'05', u'hour': u'12', u'min': u'30', u'mon': u'08', u'pretty': u'12:30 PM GMT on August 05, 2009', u'year': u'2009', u'tzname': u'UTC'}",-9999.0,-9999.0,120,ESE,-9999.0,-9999.0,-999,-999,8.1,13.0
29,Clear,"{u'mday': u'05', u'hour': u'15', u'min': u'00', u'mon': u'08', u'pretty': u'3:00 PM CEST on August 05, 2009', u'year': u'2009', u'tzname': u'Europe/Paris'}",51.8,11.0,0,0,-9999,-9999,35,clear,METAR LFPB 051300Z 13007KT 080V180 CAVOK 28/11 Q1018 NOSIG,-9999.00,-9999.00,30.06,1018,0,0,82.4,28.0,0,0,"{u'mday': u'05', u'hour': u'13', u'min': u'00', u'mon': u'08', u'pretty': u'1:00 PM GMT on August 05, 2009', u'year': u'2009', u'tzname': u'UTC'}",-9999.0,-9999.0,130,SE,-9999.0,-9999.0,-999,-999,8.1,13.0
30,Clear,"{u'mday': u'05', u'hour': u'15', u'min': u'30', u'mon': u'08', u'pretty': u'3:30 PM CEST on August 05, 2009', u'year': u'2009', u'tzname': u'Europe/Paris'}",51.8,11.0,0,0,-9999,-9999,35,clear,METAR LFPB 051330Z 15006KT 100V200 CAVOK 28/11 Q1018 NOSIG,-9999.00,-9999.00,30.06,1018,0,0,82.4,28.0,0,0,"{u'mday': u'05', u'hour': u'13', u'min': u'30', u'mon': u'08', u'pretty': u'1:30 PM GMT on August 05, 2009', u'year': u'2009', u'tzname': u'UTC'}",-9999.0,-9999.0,150,SSE,-9999.0,-9999.0,-999,-999,6.9,11.1
31,Clear,"{u'mday': u'05', u'hour': u'16', u'min': u'00', u'mon': u'08', u'pretty': u'4:00 PM CEST on August 05, 2009', u'year': u'2009', u'tzname': u'Europe/Paris'}",50.0,10.0,0,0,-9999,-9999,32,clear,METAR LFPB 051400Z 15006KT 110V190 CAVOK 28/10 Q1017 NOSIG,-9999.00,-9999.00,30.04,1017,0,0,82.4,28.0,0,0,"{u'mday': u'05', u'hour': u'14', u'min': u'00', u'mon': u'08', u'pretty': u'2:00 PM GMT on August 05, 2009', u'year': u'2009', u'tzname': u'UTC'}",-9999.0,-9999.0,150,SSE,-9999.0,-9999.0,-999,-999,6.9,11.1
32,Clear,"{u'mday': u'05', u'hour': u'16', u'min': u'30', u'mon': u'08', u'pretty': u'4:30 PM CEST on August 05, 2009', u'year': u'2009', u'tzname': u'Europe/Paris'}",50.0,10.0,0,0,-9999,-9999,32,clear,METAR LFPB 051430Z 12005KT 080V160 CAVOK 28/10 Q1017 NOSIG,-9999.00,-9999.00,30.04,1017,0,0,82.4,28.0,0,0,"{u'mday': u'05', u'hour': u'14', u'min': u'30', u'mon': u'08', u'pretty': u'2:30 PM GMT on August 05, 2009', u'year': u'2009', u'tzname': u'UTC'}",-9999.0,-9999.0,120,ESE,-9999.0,-9999.0,-999,-999,5.8,9.3
33,Clear,"{u'mday': u'05', u'hour': u'16', u'min': u'39', u'mon': u'08', u'pretty': u'4:39 PM CEST on August 05, 2009', u'year': u'2009', u'tzname': u'Europe/Paris'}",50.0,10.0,0,0,-9999,-9999,32,clear,METAR LFPB 051439Z VRB02KT CAVOK 28/10 Q1017 NOSIG,-9999.00,-9999.00,30.04,1017,0,0,82.4,28.0,0,0,"{u'mday': u'05', u'hour': u'14', u'min': u'39', u'mon': u'08', u'pretty': u'2:39 PM GMT on August 05, 2009', u'year': u'2009', u'tzname': u'UTC'}",-9999.0,-9999.0,0,Variable,-9999.0,-9999.0,-999,-999,2.3,3.7
34,Clear,"{u'mday': u'05', u'hour': u'17', u'min': u'00', u'mon': u'08', u'pretty': u'5:00 PM CEST on August 05, 2009', u'year': u'2009', u'tzname': u'Europe/Paris'}",50.0,10.0,0,0,-9999,-9999,32,clear,METAR LFPB 051500Z 07005KT 010V130 CAVOK 28/10 Q1017 NOSIG,-9999.00,-9999.00,30.04,1017,0,0,82.4,28.0,0,0,"{u'mday': u'05', u'hour': u'15', u'min': u'00', u'mon': u'08', u'pretty': u'3:00 PM GMT on August 05, 2009', u'year': u'2009', u'tzname': u'UTC'}",-9999.0,-9999.0,70,ENE,-9999.0,-9999.0,-999,-999,5.8,9.3
35,Clear,"{u'mday': u'05', u'hour': u'17', u'min': u'30', u'mon': u'08', u'pretty': u'5:30 PM CEST on August 05, 2009', u'year': u'2009', u'tzname': u'Europe/Paris'}",50.0,10.0,0,0,-9999,-9999,32,clear,METAR LFPB 051530Z VRB03KT CAVOK 28/10 Q1017 NOSIG,-9999.00,-9999.00,30.04,1017,0,0,82.4,28.0,0,0,"{u'mday': u'05', u'hour': u'15', u'min': u'30', u'mon': u'08', u'pretty': u'3:30 PM GMT on August 05, 2009', u'year': u'2009', u'tzname': u'UTC'}",-9999.0,-9999.0,0,Variable,-9999.0,-9999.0,-999,-999,3.5,5.6
36,Clear,"{u'mday': u'05', u'hour': u'18', u'min': u'00', u'mon': u'08', u'pretty': u'6:00 PM CEST on August 05, 2009', u'year': u'2009', u'tzname': u'Europe/Paris'}",48.2,9.0,0,0,-9999,-9999,29,clear,METAR LFPB 051600Z 08003KT 010V180 CAVOK 29/09 Q1017 NOSIG,-9999.00,-9999.00,30.04,1017,0,0,84.2,29.0,0,0,"{u'mday': u'05', u'hour': u'16', u'min': u'00', u'mon': u'08', u'pretty': u'4:00 PM GMT on August 05, 2009', u'year': u'2009', u'tzname': u'UTC'}",-9999.0,-9999.0,80,East,-9999.0,-9999.0,-999,-999,3.5,5.6
37,Clear,"{u'mday': u'05', u'hour': u'18', u'min': u'30', u'mon': u'08', u'pretty': u'6:30 PM CEST on August 05, 2009', u'year': u'2009', u'tzname': u'Europe/Paris'}",48.2,9.0,0,0,-9999,-9999,29,clear,METAR LFPB 051630Z 08006KT 020V140 CAVOK 29/09 Q1017 NOSIG,-9999.00,-9999.00,30.04,1017,0,0,84.2,29.0,0,0,"{u'mday': u'05', u'hour': u'16', u'min': u'30', u'mon': u'08', u'pretty': u'4:30 PM GMT on August 05, 2009', u'year': u'2009', u'tzname': u'UTC'}",-9999.0,-9999.0,80,East,-9999.0,-9999.0,-999,-999,6.9,11.1
38,Unknown,"{u'mday': u'05', u'hour': u'19', u'min': u'00', u'mon': u'08', u'pretty': u'7:00 PM CEST on August 05, 2009', u'year': u'2009', u'tzname': u'Europe/Paris'}",50.0,10.0,0,0,-9999,-9999,30,unknown,METAR LFPB 051700Z AUTO 05005KT 320V100 9999NDV NSC 29/10 Q1017,-9999.00,-9999.00,30.04,1017,0,0,84.2,29.0,0,0,"{u'mday': u'05', u'hour': u'17', u'min': u'00', u'mon': u'08', u'pretty': u'5:00 PM GMT on August 05, 2009', u'year': u'2009', u'tzname': u'UTC'}",6.2,10.0,50,NE,-9999.0,-9999.0,-999,-999,5.8,9.3
39,Unknown,"{u'mday': u'05', u'hour': u'19', u'min': u'30', u'mon': u'08', u'pretty': u'7:30 PM CEST on August 05, 2009', u'year': u'2009', u'tzname': u'Europe/Paris'}",50.0,10.0,0,0,-9999,-9999,30,unknown,METAR LFPB 051730Z AUTO 08007KT 050V120 9999NDV NSC 29/10 Q1017,-9999.00,-9999.00,30.04,1017,0,0,84.2,29.0,0,0,"{u'mday': u'05', u'hour': u'17', u'min': u'30', u'mon': u'08', u'pretty': u'5:30 PM GMT on August 05, 2009', u'year': u'2009', u'tzname': u'UTC'}",6.2,10.0,80,East,-9999.0,-9999.0,-999,-999,8.1,13.0
40,Unknown,"{u'mday': u'05', u'hour': u'20', u'min': u'00', u'mon': u'08', u'pretty': u'8:00 PM CEST on August 05, 2009', u'year': u'2009', u'tzname': u'Europe/Paris'}",48.2,9.0,0,0,-9999,-9999,29,unknown,METAR LFPB 051800Z AUTO 09006KT 9999NDV NSC 29/09 Q1017,-9999.00,-9999.00,30.04,1017,0,0,84.2,29.0,0,0,"{u'mday': u'05', u'hour': u'18', u'min': u'00', u'mon': u'08', u'pretty': u'6:00 PM GMT on August 05, 2009', u'year': u'2009', u'tzname': u'UTC'}",6.2,10.0,90,East,-9999.0,-9999.0,-999,-999,6.9,11.1
41,Unknown,"{u'mday': u'05', u'hour': u'20', u'min': u'30', u'mon': u'08', u'pretty': u'8:30 PM CEST on August 05, 2009', u'year': u'2009', u'tzname': u'Europe/Paris'}",51.8,11.0,0,0,-9999,-9999,37,unknown,METAR LFPB 051830Z AUTO 07006KT 9999NDV NSC 27/11 Q1017,-9999.00,-9999.00,30.04,1017,0,0,80.6,27.0,0,0,"{u'mday': u'05', u'hour': u'18', u'min': u'30', u'mon': u'08', u'pretty': u'6:30 PM GMT on August 05, 2009', u'year': u'2009', u'tzname': u'UTC'}",6.2,10.0,70,ENE,-9999.0,-9999.0,-999,-999,6.9,11.1
